ID_ALUNO,IDADE,GÊNERO,NÍVEL_ACADÊMICO,PAÍS,MÉDIA_HORAS_USO_DIÁRIO,PLATAFORMA_MAIS_UTILIZADA,AFETA_DESEMPENHO_ACADÊMICO,HORAS_SONO_POR_NOITE,PONTUAÇÃO_SAÚDE_MENTAL,IMPACTO_GERAL,USO_SEVERO,SONO_RUIM,FAIXA_USO,FAIXA_SONO
232,21,Masculino,Graduação,Outro,4.0,Facebook,Não,6.7,6.8,Neutro,False,False,2-4h,6-8h
564,23,Feminino,Graduação,Outro,1.6,LinkedIn,Não,8.6,7.6,Positivo,False,False,0-2h,8h+
788,22,Masculino,Pós-graduação,Canadá,4.6,Instagram,Não,6.7,7.0,Neutro,False,False,4-6h,6-8h
686,18,Masculino,Graduação,Outro,7.0,Snapchat,Sim,5.4,5.3,Negativo,True,False,6-8h,4-6h
608,24,Feminino,Ensino Médio,Outro,7.5,Facebook,Sim,5.0,4.4,Negativo,True,False,6-8h,4-6h
370,19,Feminino,Ensino Médio,Outro,4.1,Twitter,Sim,6.8,6.8,Neutro,False,False,4-6h,6-8h
862,22,Feminino,Pós-graduação,Outro,8.0,Instagram,Sim,5.2,5.3,Negativo,True,False,6-8h,4-6h
520,21,Feminino,Pós-graduação,Outro,6.0,Facebook,Sim,5.7,4.7,Negativo,True,False,4-6h,4-6h
703,24,Masculino,Graduação,EUA,4.7,YouTube,Não,7.0,6.2,Neutro,False,False,4-6h,6-8h
33,19,Masculino,Ensino Médio,Outro,3.6,TikTok,Não,8.1,8.6,Positivo,False,False,2-4h,8h+
519,18,Masculino,Pós-graduação,Outro,4.1,LinkedIn,Não,7.3,6.8,Neutro,False,False,4-6h,6-8h
738,18,Masculino,Ensino Médio,Outro,7.6,Snapchat,Sim,5.3,5.5,Negativo,True,False,6-8h,4-6h
119,20,Masculino,Graduação,Outro,2.4,Facebook,Não,8.8,8.5,Positivo,False,False,2-4h,8h+
287,23,Feminino,Graduação,Outro,6.2,LinkedIn,Não,5.3,5.4,Negativo,True,False,6-8h,4-6h
610,24,Masculino,Pós-graduação,Índia,2.7,Instagram,Não,8.6,7.8,Positivo,False,False,2-4h,8h+
383,18,Feminino,Pós-graduação,Outro,5.2,Twitter,Sim,7.0,6.3,Neutro,True,False,4-6h,6-8h
699,22,Feminino,Pós-graduação,EUA,6.5,YouTube,Sim,5.4,5.0,Negativo,True,False,6-8h,4-6h
302,21,Masculino,Ensino Médio,Austrália,6.8,YouTube,Sim,5.7,5.0,Negativo,True,False,6-8h,4-6h
277,21,Masculino,Pós-graduação,Canadá,6.9,Facebook,Sim,5.9,5.0,Negativo,True,False,6-8h,4-6h
631,20,Masculino,Graduação,Outro,5.5,Instagram,Não,6.8,6.8,Neutro,True,False,4-6h,6-8h
567,23,Feminino,Ensino Médio,Outro,2.0,Facebook,Não,7.9,7.1,Positivo,False,False,0-2h,6-8h
110,19,Feminino,Graduação,Outro,5.1,Snapchat,Sim,7.1,6.5,Neutro,True,False,4-6h,6-8h
261,24,Masculino,Graduação,Outro,2.0,Facebook,Sim,7.8,8.5,Positivo,False,False,0-2h,6-8h
691,23,Masculino,Graduação,Índia,2.0,TikTok,Não,7.2,8.6,Positivo,False,False,0-2h,6-8h
109,23,Feminino,Pós-graduação,Outro,7.1,LinkedIn,Sim,5.4,5.1,Negativo,True,False,6-8h,4-6h
537,21,Masculino,Graduação,Outro,6.2,Instagram,Sim,4.7,5.7,Negativo,True,True,6-8h,4-6h
824,20,Feminino,Graduação,Outro,2.8,LinkedIn,Não,8.3,8.2,Positivo,False,False,2-4h,8h+
270,21,Feminino,Ensino Médio,Outro,7.4,TikTok,Sim,4.6,4.7,Negativo,True,True,6-8h,4-6h
932,20,Feminino,Pós-graduação,EUA,5.6,TikTok,Sim,5.7,5.1,Negativo,True,False,4-6h,4-6h
2,23,Feminino,Graduação,EUA,2.7,YouTube,Não,7.8,7.7,Positivo,False,False,2-4h,6-8h
808,20,Masculino,Ensino Médio,Austrália,7.3,YouTube,Não,6.0,5.7,Negativo,True,False,6-8h,4-6h
143,24,Masculino,Pós-graduação,Outro,2.3,Snapchat,Não,8.2,8.1,Positivo,False,False,2-4h,8h+
671,19,Masculino,Ensino Médio,Índia,5.6,LinkedIn,Não,6.9,6.6,Neutro,True,False,4-6h,6-8h
363,22,Feminino,Pós-graduação,Índia,7.5,Facebook,Sim,5.2,4.0,Negativo,True,False,6-8h,4-6h
725,24,Masculino,Ensino Médio,Reino Unido,5.9,TikTok,Não,5.9,4.9,Negativo,True,False,4-6h,4-6h
120,18,Masculino,Graduação,Reino Unido,6.8,Instagram,Sim,5.5,4.2,Negativo,True,False,6-8h,4-6h
925,23,Masculino,Ensino Médio,Outro,6.7,Snapchat,Sim,5.5,5.0,Negativo,True,False,6-8h,4-6h
223,22,Masculino,Pós-graduação,Outro,4.5,Instagram,Não,6.1,6.6,Neutro,False,False,4-6h,6-8h
